model,best_score,best_params
random_forest,0.61,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}"
logistic_regression,0.605,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}"
